rank,word,count,occurrence_percentage,cumulative_percentage
378,"cara",111953,0.02708994,67.40525716
379,"cuidado",111524,0.02698614,67.43224330
380,"bajo",111241,0.02691766,67.45916095
381,"cerca",110690,0.02678433,67.48594528
382,"viejo",110403,0.02671488,67.51266016
383,"déjame",109679,0.02653969,67.53919985
384,"noches",109592,0.02651864,67.56571849
385,"bastante",109431,0.02647968,67.59219817
386,"fin",109402,0.02647266,67.61867083
387,"tomar",109183,0.02641967,67.64509050
388,"único",108435,0.02623867,67.67132918
389,"misma",108033,0.02614140,67.69747058
390,"escucha",107286,0.02596064,67.72343122
391,"ningún",107193,0.02593814,67.74936935
392,"suficiente",107106,0.02591709,67.77528644
393,"punto",106940,0.02587692,67.80116336
394,"cuándo",106920,0.02587208,67.82703544
395,"sigue",106764,0.02583433,67.85286977
396,"haya",106729,0.02582586,67.87869563
397,"equipo",106584,0.02579077,67.90448640
398,"grande",106057,0.02566325,67.93014966
399,"necesita",105889,0.02562260,67.95577226
400,"llegar",105719,0.02558147,67.98135372
401,"incluso",105304,0.02548105,68.00683477
402,"algunos",105052,0.02542007,68.03225484
403,"doctor",104991,0.02540531,68.05766014
404,"difícil",104985,0.02540385,68.08306400
405,"aunque",104655,0.02532400,68.10838800
406,"hubiera",104473,0.02527996,68.13366796
407,"primer",104138,0.02519890,68.15886686
408,"coche",103946,0.02515244,68.18401931
409,"hago",103901,0.02514155,68.20916086
410,"clase",103827,0.02512365,68.23428451
411,"cuatro",103805,0.02511832,68.25940283
412,"mas",103445,0.02503121,68.28443404
413,"dices",103279,0.02499104,68.30942508
414,"pequeño",103016,0.02492740,68.33435249
415,"llama",102848,0.02488675,68.35923924
416,"toma",102733,0.02485892,68.38409816
417,"hiciste",102722,0.02485626,68.40895443
418,"allá",102642,0.02483691,68.43379133
419,"última",102333,0.02476213,68.45855347
420,"arriba",102254,0.02474302,68.48329649
421,"tierra",102197,0.02472923,68.50802571
422,"guerra",101887,0.02465421,68.53267992
423,"pensar",101695,0.02460775,68.55728768
424,"pueda",101487,0.02455742,68.58184510
425,"igual",101272,0.02450540,68.60635050
426,"loco",100021,0.02420269,68.63055318
427,"sangre",99844,0.02415986,68.65471304
428,"mujeres",99536,0.02408533,68.67879837
429,"vuelta",99529,0.02408363,68.70288200
430,"fui",99366,0.02404419,68.72692619
431,"trabajar",99262,0.02401903,68.75094522
432,"tenido",99237,0.02401298,68.77495820
433,"juego",99041,0.02396555,68.79892374
434,"deberías",98960,0.02394595,68.82286969
435,"cuerpo",98410,0.02381286,68.84668256
436,"e",96622,0.02338021,68.87006277
437,"algunas",96075,0.02324785,68.89331061
438,"entrar",95899,0.02320526,68.91651587
439,"cree",95859,0.02319558,68.93971146
440,"podía",95527,0.02311525,68.96282670
441,"debemos",95445,0.02309540,68.98592210
442,"oportunidad",95375,0.02307847,69.00900057
443,"teléfono",95015,0.02299135,69.03199192
444,"necesitamos",94964,0.02297901,69.05497094
445,"final",94883,0.02295941,69.07793035
446,"listo",94769,0.02293183,69.10086218
447,"fiesta",94739,0.02292457,69.12378675
448,"muchos",94250,0.02280624,69.14659299
449,"estabas",94097,0.02276922,69.16936221
450,"quieren",94018,0.02275010,69.19211231
451,"vete",93782,0.02269300,69.21480531
452,"auto",93654,0.02266202,69.23746733
